id,biz_name,e_address,e_city,e_state,e_postal,e_zip_full,e_country,loc_county,loc_area_code,loc_FIPS,loc_MSA,loc_PMSA,loc_TZ,loc_DST,loc_LAT_centroid,loc_LAT_poly,loc_LONG_centroid,loc_LONG_poly,biz_phone,metal_spikes,play_five,c_holes,c_type,year_built,c_designer,c_season,guest_policy,dress_code,green_fees,weekend_rates,adv_tee,Description,website,Tier,Cash,Card,Member Charge,Member Charge Only
20,First Nine/Second Nine Course at Bermuda Dunes Country Club,42360 Adams St,Bermuda Dunes,CA,92203,,USA,Riverside,760,6065,,6780,PST,Y,33.7719,33.7371989,-116.2794,-116.279986,(760) 360-2481,Y,Y,27,Private,1960,William F. Bell,Open all year (closed on Mondays),Closed,"No denim, collared shirt and bermuda shor required",$80,,,,,,,,,
22,RECCE Point Golf Course,17350 Warren Shingle Rd,Beale AFB,CA,95903,,USA,Yuba,530,6115,9340,,PST,Y,39.123,39.11299,-121.3919,-121.4080001,(530) 788-0192,Y,N,18,Military,1958,N/A,Open all year,Open,Shirt and shoes required,$12 - $20,$20 wknd,7 days,,,,,,,
25,Tees & Trees Golf Course,Marine Corps Logistics Base Barstow,Barstow,CA,92311,,USA,San Bernardino,760,6071,,6780,PST,Y,35.1476,34.868511,-117.2068,-116.9558067,(760) 577-6431,N,N,9,Military,1956,N/A,Open all year (closed on Mondays),Open,No tank tops or cutoffs,$7 - $13,$13 wknd,7 days,,,,,,,
27,1 Country Club Rd,Country Club Dr,Avalon,CA,90704,,USA,Los Angeles,310,6037,,4480,PST,Y,33.382,33.3412686,-118.4331,-118.3319978,(310) 510-0530,Y,N,9,Semi-private,1925,John Duncan Dunn,Open all year,Open,Shirt and shoes required,$27 - $48,,,,,,,,,
28,Sun Lakes Country Club Executive Course,545 Twin Hills Dr,Banning,CA,92220,,USA,Riverside,951,6065,,6780,PST,Y,33.9464,33.9216399,-116.8543,-116.935726,(909) 769-8444,N,N,9,Semi-private,1996,David Rainville,Open all year,Open,"No denim, collared shirt and bermuda shor required",$8 - $16,$16 wknd,Yes,,,,,,,
29,Sun Lakes Country Club,850 Country Club Dr,Banning,CA,92220,,USA,Riverside,951,6065,,6780,PST,Y,33.9464,33.917327,-116.8543,-116.939832,(909) 845-2135,N,N,18,Semi-private,1987,David Rainville,Open all year,Open,"No denim, collared shirt and bermuda shor required",$32 - $50,$50 wknd,4 days,,,,,,,
30,Sundale Country Club,6218 Sundale Ave,Bakersfield,CA,93309,,USA,Kern,661,6029,680,,PST,Y,35.3416,35.346161,-119.0649,-119.069673,(661) 831-5224,Y,N,18,Semi-private,1962,N/A,Open all year,Open,"No denim, collared shirt and bermuda shor required",$15 - $30,$30 wknd,7 days,,,,,,,
31,Stockdale Country Club,7001 Stockdale Hwy,Bakersfield,CA,93309,,USA,Kern,661,6029,680,,PST,Y,35.3416,35.3542043,-119.0649,-119.0798123,(661) 832-0587,Y,N,18,Private,1925,Lloyd Tevis,Apr 1 to Nov 1 (closed on Mondays),Reciprocal,"No denim, collared shirt and bermuda shor required",$30 - $60,$60 wknd,Yes,,,,,,,
32,Seven Oaks Country Club,2000 Grand Lakes Ave,Bakersfield,CA,93311,,USA,Kern,661,6029,680,,PST,Y,35.171,35.333683,-119.201,-119.118799,(661) 664-6474,Y,N,18,Private,1991,Robert Muir Graves,Open all year (closed on Mondays),Reciprocal,"Collared shirt, no cutoffs, denim OK",$30 - $60,$42 wknd,7 days,,,,,,,
33,Rio Bravo Country Club,15200 Casa Club Dr,Bakersfield,CA,93306,,USA,Kern,661,6029,680,,PST,Y,35.5144,35.404523,-118.8194,-118.837604,(661) 871-4653,Y,Y,18,Private,1979,Robert Muir Graves,Open all year,Reciprocal,"No denim, collared shirt and bermuda shor required",$25 - $50,$50 wknd,14 days,,,,,,,
38,Bakersfield Country Club,4200 Country Club Dr,Bakersfield,CA,93306,,USA,Kern,661,6029,680,,PST,Y,35.5144,35.393864,-118.8194,-118.939154,(661) 871-4121,Y,N,18,Private,1949,William F. & William P. Bell,Open all year (closed on Mondays),Reciprocal,"No denim, collared shirt and bermuda shor required",$100,$16 wknd,Yes,,,,,,,
39,Avila Beach Resort,6464 Ana Bay Rd,San Luis Obispo,CA,93405,,USA,San Luis Obispo,805,6079,7460,,PST,Y,35.2783,35.1821292,-120.7414,-120.7386174,(805) 595-4000,N,Y,18,Resort,1969,Olin Dutra,Open all year,Open,"No denim, collared shirt and bermuda shor required",$47 - $62,$42 wknd,7 days,,,,,,,
42,"Ridge Golf Course, The",2020 Golf Course Rd,Auburn,CA,95602,,USA,Placer,530,6061,,6920,PST,Y,38.9886,38.948505,-121.1171,-121.076974,(530) 888-7888,Y,N,18,Semi-private,1999,"Robert Trent Jones, Jr.",Open all year,Open,"No denim, collared shirt and bermuda shor required",$25 - $55,$54 wknd,7 days,,,,,,,
43,Lake of the Pines Country Club,11665 Lakeshore N,Auburn,CA,95602,,USA,Placer,530,6061,,6920,PST,Y,38.9886,39.0406066,-121.1171,-121.0664384,(530) 269-1544,N,N,18,Private,1978,N/A,Open all year,Reciprocal,"No denim, collared shirt and bermuda shor required",$11 - $20,$20 wknd,7 days,,,,,,,
47,Auburn Valley Country Club,8800 Auburn Valley Rd,Auburn,CA,95602,,USA,Placer,530,6061,,6920,PST,Y,38.9886,39.01017,-121.1171,-121.145579,(530) 269-1837,Y,Y,18,Private,1958,Bob Bissett & Larry Curtola,Open all year (closed on Mondays),Reciprocal,"No denim, collared shirt and bermuda shor required",$25 - $60,$60 wknd,7 days,,,,,,,
50,Rancho Del Rey Golf Club,5250 Green Sands Ave,Atwater,CA,95301,,USA,Merced,209,6047,4940,,PST,Y,37.2953,37.343882,-120.6669,-120.582259,(209) 358-7131,Y,N,18,Semi-private,1955,Bob E. Baldock,Open all year,Open,Shirt and shoes required,$10 - $22,$22 wknd,7 days,,,,,,,
53,Sequoia Woods Country Club,1000 Cypress Point Dr,Arnold,CA,95223,,USA,Calaveras,209,6009,,,PST,Y,38.3677,38.25048,-120.2145,-120.326845,(209) 795-2141,N,Y,18,Private,1963,Bob E. Baldock,Open all year,Reciprocal,"Collared shirt, no other requirements",$20 - $35,$35 wknd,14 days,,,,,,,
55,Baywood Golf & Country Club,3600 Buttermilk Ln,Arcata,CA,95521,,USA,Humboldt,707,6023,,,PST,Y,40.8501,40.8480788,-124.0389,-124.0484951,(707) 822-3688,N,N,18,Private,1958,Bob E. Baldock,Open all year (closed on Mondays),Closed,Shirt and shoes required,$12.50 - $25,$25 wknd,7 days,,,,,,,
56,Arbuckle Golf Club,Hillgate Rd,Arbuckle,CA,95912,,USA,Colusa,530,6011,,,PST,Y,39.0052,39.0126452,-122.0135,-122.0981203,(530) 476-2470,N,Y,9,Semi-private,1960,,Open all year,Open,No tank tops or cutoffs,$15 - $25,$25 wknd,7 days,,,,,,,
59,Seascape Golf Club,610 Clubhouse Dr,Aptos,CA,95003,,USA,Santa Cruz,831,6087,,7485,PST,Y,37.0137,36.9665751,-121.8774,-121.8830967,(831) 688-3214,N,Y,18,Semi-private,1900,Garrett & David Gill,Open all year,Open,No tank tops or cutoffs,$60 - $80,$80 wknd,7 days,,,,,,,
61,Apple Valley Country Club,15200 Rancherias Rd,Apple Valley,CA,92307,,USA,San Bernardino,760,6071,,6780,PST,Y,34.5744,34.526878,-117.1146,-117.23033,(760) 242-3125,Y,Y,18,,1951,William F. & William P. Bell,Open all year,Reciprocal,"No denim, collared shirt and bermuda shor required",$35 - $40,$14 wknd,Yes,,,,,,,
64,Greenhorn Creek Resort Golf Course,676 McCauley Ranch Rd,Angels Camp,CA,95222,,USA,Calaveras,209,6009,,,PST,Y,38.0709,38.0662302,-120.6436,-120.5539553,(209) 736-8111,Y,Y,18,Semi-private,1996,"Robert Trent Jones, Jr.",Open all year,Open,"No denim, collared shirt and bermuda shor required",$20 - $75,$75 wknd,7 days,,,,,,,
74,Round Hill Golf & Country Club,3169 Roundhill Rd,Alamo,CA,94507,,USA,Contra Costa,925,6013,,5775,PST,Y,37.8493,37.8550622,-122.0236,-122.0092259,(925) 837-7424,N,Y,18,Private,0,,Open all year (closed on Mondays),Closed,"No denim, collared shirt and bermuda shor required",$25 - $100,$50 wknd,Yes,,,,,,,
75,Lindero Country Club,5719 Lake Lindero Dr,Agoura Hills,CA,91301,,USA,Los Angeles,818,6037,,4480,PST,Y,34.1403,34.155086,-118.7625,-118.789472,(818) 889-1158,Y,N,18,Semi-private,1970,Ted Robinson,Open all year,Open,"Collared shirt, no cutoffs, denim ok",$8 - $16,$16 wknd,6 days,,,,,,,
76,River Creek Course at Sierra Meadows Country Club,46516 Opah Dr,Ahwahnee,CA,93601,,USA,Madera,559,6039,2840,,PST,Y,37.3853,37.362838,-119.7489,-119.703876,(559) 642-1343,Y,Y,27,Semi-private,1990,N/A,Open all year,Open,"Collared shirt, no other requirements",$28 - $30,,,,,,,,,
82,Eagle's Nest Country Club at Pebble Creek Resort,3645 Clubhouse Dr,Goodyear,AZ,85395,,USA,,,,,,,U,,33.486771,,-112.388824,,N,Y,18,Semi-private,1993,Keith Foster,Open all year,Open,"No denim, collared shirt and bermuda shorts required",$11.00-$22.00,$22 wknd,2 days,,,,,,,
83,Mountain Brook Golf Club,5783 S Mountainbrook Dr,Gold Canyon,AZ,85118,,USA,,,,,,,U,,33.3650427,,-111.4606911,(480) 671-1000,N,Y,18,Semi-private,1996,Brian Whitcomb,Open all year,Open,Shirt and shoes required,$65.00,$10 wknd,Yes,,,,,,,
85,Cobre Valle Country Club,Apache Trail,Globe,AZ,85501,,USA,Gila,928,4007,,,MST,N,33.5677,33.4962749,-110.7249,-110.8655038,(520) 473-2542,N,N,9,Semi-private,1927,N/A,Open all year,Open,No tank tops or cutoffs,$15.00-$25.00,$25 wknd,1 days,,,,,,,
87,Apache Stronghold Golf Course,U.S. 70,Globe,AZ,85501,,USA,Gila,928,4007,,,MST,N,33.5677,33.3722693,-110.7249,-110.7346481,(520) 812-1872,Y,Y,18,Private,1999,Tom Doak,Open all year,Open,No tank tops or cutoffs,$49-$70,$70 wknd,7 days,,,,,,,
94,Bellaire Golf Course,17233 N 45th Ave,Glendale,AZ,85308,,USA,Maricopa,623,4013,6200,,MST,N,33.6643,33.651421,-112.1813,-112.15744,(602) 978-6850,N,N,18,Semi-private,1973,"Lawrence, Hardin & Nash",Open all year,Open,No dress code,$10-$15,$15 wknd,7 days,,,,,,,
95,Arizona Traditions Golf Club,17225 N Citrus Dr,Glendale,AZ,85374,,USA,Maricopa,623,4013,6200,,MST,N,33.6321,33.5953953,-112.3824,-112.4441586,(623) 584-4000,Y,Y,18,Semi-private,1997,Dick Bailey,Nov 1 to May 1,Open,"Collared shirt, no cutoffs, denim OK",$45-$60,$55 wknd,7 days,,,,,,,
101,Mountain View Golf Course,45103 Fort Huachuca,Fort Huachuca,AZ,85613,,USA,Cochise,520,4003,,,MST,N,31.5925,31.55479,-110.3847,-110.34615,(520) 533-7088,Y,Y,18,Private,1945,Ed Collett,Open all year,Reciprocal,No tank tops or cutoffs,$25.00,$20 wknd,5 days,,,,,,,
102,Meadow Course at Forest Highlands Golf Club,Forest Highlands Dr,Flagstaff,AZ,86001,,USA,Coconino,928,4005,2620,,MST,N,35.1888,35.1102206,-111.6603,-111.7117892,(520) 525-9014,Y,Y,36,Private,1999,Tom Weiskopf,May 1 to Oct 31,Closed,"No denim, collared shirt and bermuda shorts required",$35.00-$86.00,,,,,,,,,
103,Flagstaff Ranch Golf Club,3605 S Flagstaff Ranch Rd,Flagstaff,AZ,86001,,USA,Coconino,928,4005,2620,,MST,N,35.1888,35.180829,-111.6603,-111.711784,(520) 214-0677,Y,Y,18,Private,2002,Jerry Pate,May 1 to Oct 31,Only with a Member,"No denim, collared shirt and bermuda shorts required",,,,,,,,,,
104,Aspen Valley Golf Club,1855 N Continental Dr,Flagstaff,AZ,86004,,USA,Coconino,928,4005,2620,,MST,N,35.182,35.198336,-111.2649,-111.590354,(520) 527-4653,N,N,18,Private,1973,Greg Nash & Jeff Hardin,Apr 1 to Nov 1,Reciprocal,"No denim, collared shirt and bermuda shorts required",$23-$52,$52 wknd,10 days,,,,,,,
106,Columbine Country Club,17 Fairway Ln,Columbine Valley,CO,80123,,USA,Jefferson,303,8059,,2080,MST,Y,39.5977,39.599827,-105.0712,-105.037247,(303) 794-4502,Y,Y,18,Private,1956,Henry Hughes,Open all year (closed on Mondays),Reciprocal,"No denim, collared shirt and bermuda short required",$80.00,$80 wknd,2 days,,,,,,,
108,Pueblo El Mirage RV Resort & Country Club,11201 N El Mirage Rd,El Mirage,AZ,85335,,USA,Maricopa,623,4013,6200,,MST,N,33.5859,33.585039,-112.3345,-112.321481,(623) 583-0425,Y,Y,18,Semi-private,1985,Ken Killian & Fuzzy Zoeller,Open all year,Open,"No denim, collared shirt and bermuda shorts required",$10.00-15.00,$20 wknd,3 days,,,,,,,
112,Prescott Golf & Country Club,1030 Prescott Country Club Blvd,Dewey,AZ,86327,,USA,Yavapai,928,4025,,,MST,N,34.4983,34.5582424,-112.2272,-112.2647256,(520) 772-8984,Y,Y,18,Semi-private,1972,Milton Coggins,Open all year,Open,No tank tops or cutoffs,$39.00-$44.00,$44 wknd,7 days,,,,,,,
113,Santa Rita Golf Club,16461 S Houghton Rd,Corona De Tucson,AZ,85641,,USA,Pima,520,4019,8520,,MST,N,31.9353,31.956498,-110.6971,-110.7717723,(520) 762-5620,N,Y,18,Semi-private,1976,Red Lawrence,Open all year,Open,"No denim, collared shirt and bermuda shorts required",$15.00-$43.00,$43 wknd,7 days,,,,,,,
115,Concho Valley Country Club,Arizona 61,Concho,AZ,85924,,USA,Apache,928,4001,,,MST,N,34.4334,34.3895944,-109.6527,-109.6699989,(800) 658-8071,Y,N,18,Semi-private,1970,Jack Snyder,Open all year,Open,Shirt and shoes required,$16.00-$23.00,$23 wknd,7 days,,,,,,,
116,Devil's Claw Course at Whirlwind at Gila River Resort,5692 W North Loop Rd,Chandler,AZ,85226,,USA,Maricopa,480,4013,6200,,MST,N,33.2772,33.2721925,-111.9255,-111.9838942,(480) 940-1500,N,Y,36,Resort,2000,Gary Panks,Open all year,Open,"No denim, collared shirt and bermuda shorts required",$125.00,,,,,,,,,
117,Sunbird Golf Resort,6250 S Sunbird Blvd,Chandler,AZ,85249,,USA,Maricopa,480,4013,6200,,MST,N,33.2393,33.2156523,-111.7828,-111.8095186,(480) 883-0820,N,Y,18,Semi-private,1987,Gary Panks,Open all year,Open,No tank tops or cutoffs,$25.00-$38.00,$38 wknd,3 days,,,,,,,
119,Sheraton San Marcos Country Club,100 N Dakota St,Chandler,AZ,85225,,USA,Maricopa,480,4013,6200,,MST,N,33.3191,33.304899,-111.8203,-111.845628,(480) 963-3358,N,Y,18,Resort,1922,Harry J. Collis,Open all year,Open,"No denim, collared shirt and bermuda shorts require",$45.00-$85.00,$85 wknd,7 days,,,,,,,
121,Lone Tree Golf Club,6262 S Mountain Blvd,Chandler,AZ,85249,,USA,Maricopa,480,4013,6200,,MST,N,33.2393,33.213228,-111.7828,-111.783026,(480) 219-0830,Y,Y,18,Semi-private,2001,Darryl Wilson,Open all year,Open,"No denim, collared shirt and bermuda shorts required",$59.00-$69.00,$70 wknd,Yes,,,,,,,
122,Ironwood Country Club,550 W Champagne Dr,Chandler,AZ,85248,,USA,Maricopa,480,4013,6200,,MST,N,33.2472,33.227702,-111.8653,-111.845831,(480) 895-0614,Y,Y,18,Semi-private,1993,Keith Foster,Open all year,Open,"No denim, collared shirt and bermuda shorts required",$42.00,$42 wknd,7 days,,,,,,,
123,Tatum Ranch Golf Club,29888 N Tatum Ranch Dr,Deer Valley,AZ,85331,,USA,Maricopa,480,4013,6200,,MST,N,33.8777,33.7563173,-112.0635,-111.9857536,(480) 585-4909,Y,Y,18,Semi-private,1987,Bob Cupp,Open all year,Open,"No denim, collared shirt and bermuda shorts required",$125.00,$125 wknd,60 days,,,,,,,
124,Rancho Manana Golf Club,5734 E Rancho Manana Blvd,Cave Creek,AZ,85331,,USA,Maricopa,480,4013,6200,,MST,N,33.8777,33.833215,-112.0635,-111.955456,(480) 488-0398,N,Y,18,Semi-private,1989,Bill Johnston,Open all year,Open,"No denim, collared shirt and bermuda shorts required",$100.00-$115.00,$115 wknd,7 days,,,,,,,
128,Francisco Grande Hotel & Golf Resort,26000 Gila Bend Hwy,Casa Grande,AZ,85193,,USA,,,,,,,U,,32.8794598,,-111.8477445,(520) 381-8200,Y,Y,18,Private,1961,Ralph Plummer,Open all year,Open,"No denim, collared shirt and bermuda shorts required",$45.00-$55.00,,,,,,,,,
130,Desert Forest Golf Club,37207 N Mule Train Rd,Carefree,AZ,85262,,USA,Maricopa,480,4013,6200,,MST,N,33.8968,33.8228969,-111.6519,-111.908547,(480) 488-3527,Y,Y,18,Private,1962,Red Lawrence,Open all year,Closed,"Collared shirt, no cutoffs, denim OK",$80.00,$80 wknd,30 days,,,,,,,
131,South Course at Boulders Golf Club & Resort,34636 N Tom Darlington Dr,Carefree,AZ,85262,,USA,Maricopa,480,4013,6200,,MST,N,33.8968,33.8230489,-111.6519,-111.9247637,(480) 488-9028,Y,Y,36,Private,1983,Jay Morrish,Open all year,Open,"No denim, collared shirt and bermuda shorts required",$240.00,,,,,,,,,
136,Desert Lakes Golf Club,5835 S Desert Lakes Dr,Fort Mohave,AZ,86426,,USA,Mohave,928,4015,4120,,MST,N,35.0028,34.990042,-114.5797,-114.58646,(520) 768-1000,N,Y,18,Private,1990,Bob E. & Robert L. Baldock,Open all year,Open,"Collared shirt, no cutoffs, denim OK",$60.00-$70.00,$70 wknd,5 days,,,,,,,
137,Chaparral Country Club,1260 Mohave Dr,Bullhead City,AZ,86442,,USA,Mohave,928,4015,4120,,MST,N,34.9321,35.082189,-114.1383,-114.603396,(520) 758-3939,N,N,9,Semi-private,1970,Jack Foster,Open all year,Open,Shirt and shoes required,$17.00-$22.00,$29.17 wknd,1 days,,,,,,,
140,Hamilton Ranch Golf Resort,Hwy 91,Littlefield,AZ,86432,,USA,Mohave,928,4015,4120,,MST,N,36.4285,36.9114837,-113.6285,-113.9439392,(520) 347-5111,Y,Y,9,Private,1989,Robert Fresby,Open all year,Open,Shirt and shoes required,$20.00-$35.00,$35 wknd,7 days,,,,,,,
142,Arizona City Club,13939 E Cleator Rd,Arizona City,AZ,85193,,USA,,,,,,,U,,32.7538312,,-111.6638181,(520) 466-5327,Y,N,18,Semi-private,1963,Jack Snyder,Open all year,Open,Shirt and shoes required,$20-$30,$30 wknd,5 days,,,,,,,
144,Roadhaven Golf Course,1000 S Idaho Rd,Apache Junction,AZ,85219,,USA,Pinal,480,4021,6200,,MST,N,33.4233,33.3983105,-111.5128,-111.5460747,(480) 982-4811,N,N,9,Private,1984,Greg Nash,Open all year,Closed,No tank tops or cutoffs,$6.00,$6 wknd,3 days,,,,,,,
146,Meadowbrook Country Club,1250 W Broadway,West Memphis,AR,72301,,USA,Crittenden,870,5035,4920,,CST,Y,35.1461,35.146141,-90.1892,-90.1995774,(870) 735-6767,Y,N,18,Private,1960,Joe Finger,Open all year (closed on Mondays),Closed,"No denim, collared shirt and bermuda shorts required",$25.00-$30.00,$35 wknd,1 days,,,,,,,
147,West Helena Municipal Golf Course,728 Beechwood Dr,West Helena,AR,72390,,USA,Phillips,870,5107,,,CST,Y,34.5741,34.553032,-90.6745,-90.6392963,(870) 572-2877,Y,N,9,Private,1907,Herman Hackbarth,Open all year (closed on Mondays),Reciprocal,"Collared shirt, no other requirements",$12.50-$25.00,,,,,,,,,
148,Walnut Ridge Golf & Country Club,249 Lawrence Road 701,Walnut Ridge,AR,72476,,USA,Lawrence,870,5075,,,CST,Y,36.1072,35.9272348,-90.9128,-90.9668088,(870) 886-9816,Y,Y,9,Semi-private,1971,N/A,Open all year (closed on Mondays),Open,"Collared shirt, no other requirements",$7.50-$15.00,,,,,,,,,
149,Waldron Country Club,City Lake Rd,Waldron,AR,72958,,USA,Scott,479,5127,,,CST,Y,34.9204,34.9242169,-94.0577,-94.0686667,(501) 637-4374,N,Y,9,Semi-private,1984,N/A,Open all year (closed on Mondays),Open,Shirt and shoes required,$13.50-$19.00,,,,,,,,,
150,Cedars Country Club,1301 City Park Rd,Van Buren,AR,72956,,USA,Crawford,479,5033,2720,,CST,Y,35.458,35.4502885,-94.2992,-94.3459741,(501) 474-2412,Y,N,9,Semi-private,1964,N/A,Open all year,Open,Shirt and shoes required,$8.00,$12 wknd,Yes,,,,,,,
151,Trumann Country Club,30412 Country Club Blvd,Trumann,AR,72472,,USA,Poinsett,870,5111,,,CST,Y,35.6187,35.660224,-90.5393,-90.494524,(870) 483-7627,N,N,18,Semi-private,1972,N/A,Open all year (closed on Mondays),Open,No tank tops or cutoffs,$15.00,,,,,,,,,
152,Texarkana Country Club,1 Country Club Pl,Texarkana,AR,71854,,USA,Miller,870,5091,8360,,CST,Y,33.4765,33.4075305,-93.9191,-94.0145004,(870) 772-8221,Y,N,18,,1927,Theodore J. Moreau,Open all year (closed on Mondays),Reciprocal,"Collared shirt, no other requirements",$50.00,,,,,,,,,
154,"Links, The",5100 S Zero St,Texarkana,AR,72903,,USA,Sebastian,479,5131,2720,,CST,Y,35.3363,,-94.3712,,(501) 648-8080,N,N,9,Semi-private,1996,Lyndy Lindsey,Open all year (closed on Mondays),Open,Shirt and shoes required,$6.00 -$10.00,$10 wknd,1 days,,,,,,,
156,Links at Texarkana,333 Links Dr,Texarkana,AR,71854,,USA,Miller,870,5091,8360,,CST,Y,33.4765,33.4722119,-93.9191,-94.0395062,(870) 773-6154,Y,N,9,Private,1997,Lindy Lindsey,Open all year,Closed,Shirt and shoes required,$10.00-$15.00,$15 wknd,Yes,,,,,,,
157,Stuttgart Country Club,Hwy 130 E,Stuttgart,AR,72160,,USA,Arkansas,870,5001,,,CST,Y,34.3615,34.478586,-91.5213,-91.484875,(870) 673-3041,Y,N,18,Private,1964,N/A,Open all year (closed on Mondays),Reciprocal,No tank tops or cutoffs,$15.00,,,,,,,,,
158,Springdale Country Club,4705 S Thompson St,Springdale,AR,72764,,USA,Washington,479,5143,2580,,CST,Y,36.1771,36.141275,-94.0897,-94.151292,(501) 751-5185,Y,N,18,Private,1927,N/A,Open all year,Reciprocal,No tank tops or cutoffs,$35.00,$45 wknd,3 days,,,,,,,
161,Siloam Springs Country Clu,801 N Country Club Rd,Siloam Springs,AR,72761,,USA,Benton,479,5007,2580,,CST,Y,36.1693,36.1905608,-94.458,-94.5232488,(501) 524-4269,Y,N,9,Semi-private,1963,Wilson Ford,Open all year,Open,No tank tops or cutoffs,$7.00-$15.00,,,,,,,,,
162,Dawn Hill Golf & Racquet Club,Dawn Hill Rd,Siloam Springs,AR,72761,,USA,Benton,479,5007,2580,,CST,Y,36.1693,36.203207,-94.458,-94.5407687,(800) 423-3786,Y,Y,18,Resort,1968,Virgil Brookshire,Open all year,Open,"Collared shirt, no cutoffs, denim OK",$10.00-$22.00,$22 wknd,3 days,,,,,,,
