id,biz_name,e_address,e_city,e_state,e_postal,e_zip_full,e_country,loc_county,loc_area_code,loc_FIPS,loc_MSA,loc_PMSA,loc_TZ,loc_DST,loc_LAT_centroid,loc_LAT_poly,loc_LONG_centroid,loc_LONG_poly,biz_phone,metal_spikes,play_five,c_holes,c_type,year_built,c_designer,c_season,guest_policy,dress_code,green_fees,weekend_rates,adv_tee,Description,website,Tier,Cash,Card,Member Charge,Member Charge Only,description
95,Arizona Traditions Golf Club,17225 N Citrus Dr,Glendale,AZ,85374,,USA,Maricopa,623,4013,6200,,MST,N,33.6321,33.5953953,-112.3824,-112.4441586,(623) 584-4000,Y,Y,18,Semi-private,1997,Dick Bailey,Nov 1 to May 1,Open,"Collared shirt, no cutoffs, denim OK",$45-$60,$55 wknd,7 days,"Arizona Traditions Golf Club offers a parkland style golf course that has panoramic views of the White Tank Mountains. An enhancement project for the course in 1998 put in an abundance of trees, shrubs, and flowers on the course. Although it has a short layout, the golf course is quite challenging with difficult sloped greens and rolling fairways lined with forestry. Rolling hills, extensive greenside and fairway mounding, and water hazards provide an interesting game. Five sets of tee boxes ensure that golfers of all skill levels can enjoy the course. Arizona Traditions Golf Club also has a driving range, chipping area, and putting green for golfers to use.",https://www.golfpass.com/travel-advisor/xgo/15767,,,,,,
101,Mountain View Golf Course,45103 Fort Huachuca,Fort Huachuca,AZ,85613,,USA,Cochise,520,4003,,,MST,N,31.5925,31.55479,-110.3847,-110.34615,(520) 533-7088,Y,Y,18,Private,1945,Ed Collett,Open all year,Reciprocal,No tank tops or cutoffs,$25.00 ,$20 wknd,5 days,,https://www.golfpass.com/travel-advisor/xgo/14803,,,,,,
102,Meadow Course at Forest Highlands Golf Club,Forest Highlands Dr,Flagstaff,AZ,86001,,USA,Coconino,928,4005,2620,,MST,N,35.1888,35.1102206,-111.6603,-111.7117892,(520) 525-9014,Y,Y,36,Private,1999,Tom Weiskopf,May 1 to Oct 31,Closed,"No denim, collared shirt and bermuda shorts required",$35.00-$86.00,,,,,,,,,,
103,Flagstaff Ranch Golf Club,3605 S Flagstaff Ranch Rd,Flagstaff,AZ,86001,,USA,Coconino,928,4005,2620,,MST,N,35.1888,35.180829,-111.6603,-111.711784,(520) 214-0677,Y,Y,18,Private,2002,Jerry Pate,May 1 to Oct 31,Only with a Member,"No denim, collared shirt and bermuda shorts required",,,,,https://www.golfpass.com/travel-advisor/xgo/14884,,,,,,
104,Aspen Valley Golf Club,1855 N Continental Dr,Flagstaff,AZ,86004,,USA,Coconino,928,4005,2620,,MST,N,35.182,35.198336,-111.2649,-111.590354,(520) 527-4653,N,N,18,Private,1973,Greg Nash & Jeff Hardin,Apr 1 to Nov 1,Reciprocal,"No denim, collared shirt and bermuda shorts required",$23-$52,$52 wknd,10 days,,https://www.golfpass.com/travel-advisor/xgo/14685,,,,,,
106,Columbine Country Club,17 Fairway Ln,Columbine Valley,CO,80123,,USA,Jefferson,303,8059,,2080,MST,Y,39.5977,39.599827,-105.0712,-105.037247,(303) 794-4502,Y,Y,18,Private,1956,Henry Hughes,Open all year (closed on Mondays),Reciprocal,"No denim, collared shirt and bermuda short required",$80.00 ,$80 wknd,2 days,"Columbine Country Club boasts an 18-hole, championship-length course as well as a nine-hole, par-3 course. Golf architect Henry Hughes designed this private, par-72 course that offers 7,440 yards of golf. Located in the city of Littleton, this course has consistently been ranked as one of the top ten private courses in Colorado by publications like Golf Digest and Colorado Golf Magazine. Since 1988, it has been host to the U.S. Open Qualifying. Columbine Country Club is ideal for families since adults can enjoy the championship course while kids can take on the par-3 course or enjoy the other amenities at the facility, such as the pool or tennis courts.",https://www.golfpass.com/travel-advisor/xgo/4198,,,,,,
108,Pueblo El Mirage RV Resort & Country Club,11201 N El Mirage Rd,El Mirage,AZ,85335,,USA,Maricopa,623,4013,6200,,MST,N,33.5859,33.585039,-112.3345,-112.321481,(623) 583-0425,Y,Y,18,Semi-private,1985,Ken Killian & Fuzzy Zoeller,Open all year,Open,"No denim, collared shirt and bermuda shorts required",$10.00-15.00,$20 wknd,3 days,,,,,,,,
112,Prescott Golf & Country Club,1030 Prescott Country Club Blvd,Dewey,AZ,86327,,USA,Yavapai,928,4025,,,MST,N,34.4983,34.5582424,-112.2272,-112.2647256,(520) 772-8984,Y,Y,18,Semi-private,1972,Milton Coggins,Open all year,Open,No tank tops or cutoffs,$39.00-$44.00,$44 wknd,7 days,,https://www.golfpass.com/travel-advisor/xgo/14557,,,,,,
113,Santa Rita Golf Club,16461 S Houghton Rd,Corona De Tucson,AZ,85641,,USA,Pima,520,4019,8520,,MST,N,31.9353,31.956498,-110.6971,-110.7717723,(520) 762-5620,N,Y,18,Semi-private,1976,Red Lawrence,Open all year,Open,"No denim, collared shirt and bermuda shorts required",$15.00-$43.00,$43 wknd,7 days,,https://www.golfpass.com/travel-advisor/xgo/30249,,,,,,
115,Concho Valley Country Club,Arizona 61,Concho,AZ,85924,,USA,Apache,928,4001,,,MST,N,34.4334,34.3895944,-109.6527,-109.6699989,(800) 658-8071,Y,N,18,Semi-private,1970,Jack Snyder,Open all year,Open,Shirt and shoes required,$16.00-$23.00,$23 wknd,7 days,,,,,,,,
116,Devil's Claw Course at Whirlwind at Gila River Resort,5692 W North Loop Rd,Chandler,AZ,85226,,USA,Maricopa,480,4013,6200,,MST,N,33.2772,33.2721925,-111.9255,-111.9838942,(480) 940-1500,N,Y,36,Resort,2000,Gary Panks,Open all year,Open,"No denim, collared shirt and bermuda shorts required",$125.00 ,,,,,,,,,,
117,Sunbird Golf Resort,6250 S Sunbird Blvd,Chandler,AZ,85249,,USA,Maricopa,480,4013,6200,,MST,N,33.2393,33.2156523,-111.7828,-111.8095186,(480) 883-0820,N,Y,18,Semi-private,1987,Gary Panks,Open all year,Open,No tank tops or cutoffs,$25.00-$38.00,$38 wknd,3 days,"The course at the Sunbird Golf Resort is a desert-style course that offers three sets of tee boxes to accommodate most skill levels. This executive length golf course has a country club-type atmosphere and offers a good round of golf. The greens are medium sized with some that are multi-tiered and narrow fairways. Bunkers and trees are also present on the course, adding some challenge since they can greatly affect shots. Water hazards also come into play on a few holes. In addition to the executive course at Sunbird Golf Resort, the facility also offers a putting area and chipping green as well as a fully stocked pro shop.",https://www.golfpass.com/travel-advisor/xgo/14677,,,,,,
119,Sheraton San Marcos Country Club,100 N Dakota St,Chandler,AZ,85225,,USA,Maricopa,480,4013,6200,,MST,N,33.3191,33.304899,-111.8203,-111.845628,(480) 963-3358,N,Y,18,Resort,1922,Harry J. Collis,Open all year,Open,"No denim, collared shirt and bermuda shorts require",$45.00-$85.00,$85 wknd,7 days,,,,,,,,
121,Lone Tree Golf Club,6262 S Mountain Blvd,Chandler,AZ,85249,,USA,Maricopa,480,4013,6200,,MST,N,33.2393,33.213228,-111.7828,-111.783026,(480) 219-0830,Y,Y,18,Semi-private,2001,Darryl Wilson,Open all year,Open,"No denim, collared shirt and bermuda shorts required",$59.00-$69.00,$70 wknd,Yes,"Located close to the San Tan Mountains, the course at the Lone Tree Golf Club offers not only a good game but also beautiful mountain views. This championship golf course was done in a traditional desert-style with rolling fairways and fast greens that are large and undulating. There are also several sand bunkers that protect both the fairways and the greens. Water hazards come into play on five holes and extensive mounding adds further challenge. The course features four sets of tee boxes to accommodate golfers of all skill levels. Lone Tree Golf Club boasts extensive practice facilities including a targeted grass range, a large putting green, and a short game area with a sand bunker.",https://www.golfpass.com/travel-advisor/xgo/16320,,,,,,
122,Ironwood Country Club,550 W Champagne Dr,Chandler,AZ,85248,,USA,Maricopa,480,4013,6200,,MST,N,33.2472,33.227702,-111.8653,-111.845831,(480) 895-0614,Y,Y,18,Semi-private,1993,Keith Foster,Open all year,Open,"No denim, collared shirt and bermuda shorts required",$42.00 ,$42 wknd,7 days,,https://www.golfpass.com/travel-advisor/xgo/3910,,,,,,
123,Tatum Ranch Golf Club,29888 N Tatum Ranch Dr,Deer Valley,AZ,85331,,USA,Maricopa,480,4013,6200,,MST,N,33.8777,33.7563173,-112.0635,-111.9857536,(480) 585-4909,Y,Y,18,Semi-private,1987,Bob Cupp,Open all year,Open,"No denim, collared shirt and bermuda shorts required",$125.00 ,$125 wknd,60 days,"The course at Tatum Ranch Golf Club is a true desert course due to its placement adjacent to the beautiful Sonoran Desert. The course has a target-style design that features subtly rolling fairways and greens that are large and undulating. Water hazards come into play, some in the form of ponds. There are also several sand bunkers strategically placed throughout but especially around the greens. The course is a challenge, but it offers a fun, fair game for golfers of all skill levels. Its location near residential areas causes the occasional appearance of homes on the course. Tatum Ranch Golf Club's signature hole is the par-3 11th hole, which requires great control. Although the hole is not long, it is difficult with a narrow, guarded green.",https://www.golfpass.com/travel-advisor/xgo/15650,,,,,,
124,Rancho Manana Golf Club,5734 E Rancho Manana Blvd,Cave Creek,AZ,85331,,USA,Maricopa,480,4013,6200,,MST,N,33.8777,33.833215,-112.0635,-111.955456,(480) 488-0398,N,Y,18,Semi-private,1989,Bill Johnston,Open all year,Open,"No denim, collared shirt and bermuda shorts required",$100.00-$115.00,$115 wknd,7 days,"Rancho Manana Golf Club has one of the prettier courses in Cave Creek-Scottsdale, located high in the Sonora and combining vistas with testing golf. It offers a par-70 championship golf course laid out over elevations that change dramatically right up alongside the untouched desert and the indigenous wildlife that comes with that, as well as an old-school dude ranch that has been incorporated into the golf resort. Low-handicap golfers will be challenged by the golf course, but it's not so tough that other levels of golfer will be turned away.The Rancho Manana Golf Club offers golf to the public and is conveniently located just 20 minutes off the highway.After a round of golf at the Rancho Manana Golf Club, stick around for around and maybe some eats at the Tonto Bar & Grill, which has received several awards and is listed among Arizona's top 100 restaurants.",https://www.golfpass.com/travel-advisor/xgo/15649,,,,,,
128,Francisco Grande Hotel & Golf Resort,26000 Gila Bend Hwy,Casa Grande,AZ,85193,,USA,,,,,,,U,,32.8794598,,-111.8477445,(520) 381-8200,Y,Y,18,Private,1961,Ralph Plummer,Open all year,Open,"No denim, collared shirt and bermuda shorts required",$45.00-$55.00,,,,https://www.golfpass.com/travel-advisor/xgo/15648,,,,,,
